username|to|text|retweets|favorites|replies|id|permalink|author_id|date|formatted_date|mentions|hashtags|geo|urls
AlertaVR|sismos_dot_cl|#Sismo #SismoChile #Temblor 3.0 – 7 km al N de Camiña https://goo.gl/fb/CHSV8i #Terremoto #Temblor #sismos #chile #sismo https://twitter.com/sismos_dot_cl/status/1132032399032934400 …|0|0|0|1132043432699006977|https://twitter.com/AlertaVR/status/1132043432699006977|3426754877|2019-05-24 21:59:21+00:00|Fri May 24 21:59:21 +0000 2019||#Sismo #SismoChile #Temblor #Terremoto #Temblor #sismos #chile #sismo||https://goo.gl/fb/CHSV8i,https://twitter.com/sismos_dot_cl/status/1132032399032934400
AlertaVR|sismos_dot_cl|#Sismo #SismoChile #Temblor 5.2 – 130 km al NO de San Fernando del Valle https://goo.gl/fb/nBZYWY #Terremoto #Temblor #50ymas #sismos #chilehttps://twitter.com/sismos_dot_cl/status/1132026175998562305 …|0|0|0|1132043430463463429|https://twitter.com/AlertaVR/status/1132043430463463429|3426754877|2019-05-24 21:59:20+00:00|Fri May 24 21:59:20 +0000 2019||#Sismo #SismoChile #Temblor #Terremoto #Temblor #50ymas #sismos #chilehttps||https://goo.gl/fb/nBZYWY,https://twitter.com/sismos_dot_cl/status/1132026175998562305
sismos_dot_cl|None|3.7 – 55 km al NE de Pica https://goo.gl/fb/WrVS8T #Terremoto #Temblor #sismos #chile #sismo|0|1|0|1132037875288203264|https://twitter.com/sismos_dot_cl/status/1132037875288203264|118119011|2019-05-24 21:37:16+00:00|Fri May 24 21:37:16 +0000 2019||#Terremoto #Temblor #sismos #chile #sismo||https://goo.gl/fb/WrVS8T
sismos_dot_cl|None|3.0 – 7 km al N de Camiña https://goo.gl/fb/CHSV8i #Terremoto #Temblor #sismos #chile #sismo|0|1|0|1132032399032934400|https://twitter.com/sismos_dot_cl/status/1132032399032934400|118119011|2019-05-24 21:15:30+00:00|Fri May 24 21:15:30 +0000 2019||#Terremoto #Temblor #sismos #chile #sismo||https://goo.gl/fb/CHSV8i
earthquakevt|None|#Argentina: Un sismo moderado de magnitud Mww=5.2, se registró a 47 KM al SW de #Andalgalá, provincia de #Catamarca. Tuvo una profundidad de 147,6 KM. [UPDATE] More info: https://on.doi.gov/2K141Tz ¿Sintió el sismo?, ¡cuéntanos! #EQVT, #earthquake, #seísmo, #sismo, #temblor, #terremoto pic.twitter.com/h5cQrC3Ci8|5|5|0|1132025745000341504|https://twitter.com/earthquakevt/status/1132025745000341504|352358792|2019-05-24 20:49:04+00:00|Fri May 24 20:49:04 +0000 2019||#Argentina #Andalgalá #Catamarca #EQVT #earthquake #seísmo #sismo #temblor #terremoto||https://on.doi.gov/2K141Tz
Emergenza24|None|BREAKING [24.05-22:20] #Catamarca #Argentina STRONG #EARTHQUAKE FUERTE #TEMBLOR #SISMO FORTE #TERREMOTO (21:15 UTC+2) M 5.7 pic.twitter.com/vtNZWD85FU|11|5|0|1132020974025617410|https://twitter.com/Emergenza24/status/1132020974025617410|604883587|2019-05-24 20:30:06+00:00|Fri May 24 20:30:06 +0000 2019||#Catamarca #Argentina #EARTHQUAKE #TEMBLOR #SISMO #TERREMOTO||
earthquakevt|None|#Argentina: Un fuerte sismo de magnitud M5.7, se registró a 35 KM al Sur de #Belén, provincia de #Catamarca. Tuvo una profundidad de 250 KM. [PRELIM.]. Source: GFZ. ¿Sintió el sismo?, ¡cuéntanos! #EQVT, #quake, #earthquake, #seísmo, #sismo, #temblor, #terremoto. pic.twitter.com/KczOcbTuU4|13|21|1|1132019467976941568|https://twitter.com/earthquakevt/status/1132019467976941568|352358792|2019-05-24 20:24:07+00:00|Fri May 24 20:24:07 +0000 2019||#Argentina #Belén #Catamarca #EQVT #quake #earthquake #seísmo #sismo #temblor #terremoto||
AlertaVR|sismos_dot_cl|#Sismo #SismoChile #Temblor 3.9 – 66 km al N de Mina Collahuasi https://goo.gl/fb/5QZWVS #Terremoto #Temblor #sismos #chile #sismo https://twitter.com/sismos_dot_cl/status/1131904915226419200 …|0|0|0|1131920142378651648|https://twitter.com/AlertaVR/status/1131920142378651648|3426754877|2019-05-24 13:49:26+00:00|Fri May 24 13:49:26 +0000 2019||#Sismo #SismoChile #Temblor #Terremoto #Temblor #sismos #chile #sismo||https://goo.gl/fb/5QZWVS,https://twitter.com/sismos_dot_cl/status/1131904915226419200
AlertaVR|sismos_dot_cl|#Sismo #SismoChile #Temblor 3.8 – 65 km al N de Mina Collahuasi https://goo.gl/fb/6rDfKR #Terremoto #Temblor #sismos #chile #sismo https://twitter.com/sismos_dot_cl/status/1131901795247284224 …|0|1|0|1131904991697018880|https://twitter.com/AlertaVR/status/1131904991697018880|3426754877|2019-05-24 12:49:14+00:00|Fri May 24 12:49:14 +0000 2019||#Sismo #SismoChile #Temblor #Terremoto #Temblor #sismos #chile #sismo||https://goo.gl/fb/6rDfKR,https://twitter.com/sismos_dot_cl/status/1131901795247284224
sismos_dot_cl|None|3.9 – 66 km al N de Mina Collahuasi https://goo.gl/fb/5QZWVS #Terremoto #Temblor #sismos #chile #sismo|1|1|0|1131904915226419200|https://twitter.com/sismos_dot_cl/status/1131904915226419200|118119011|2019-05-24 12:48:56+00:00|Fri May 24 12:48:56 +0000 2019||#Terremoto #Temblor #sismos #chile #sismo||https://goo.gl/fb/5QZWVS
