username|to|text|retweets|favorites|replies|id|permalink|author_id|date|formatted_date|mentions|hashtags|geo|urls
ESPECIGEST|None|#Sismo   en #Lima: de magnitud 3,8 se registró en Cañete, #Peru. #EG #Georiesgos #earthquake #jishin #quake #temblor #terremoto #SePreventivo #SeResilientepic.twitter.com/ClCNMy5url|1|0|0|1132123241277997056|https://twitter.com/ESPECIGEST/status/1132123241277997056|1592035789|2019-05-25 03:16:29+00:00|Sat May 25 03:16:29 +0000 2019||#Sismo #Lima #Peru #EG #Georiesgos #earthquake #jishin #quake #temblor #terremoto #SePreventivo #SeResilientepic||
RenatoDjTato|None|Las primeras imágenes del terremoto en Lamas de 8.0 grados, algunas imágenes de las casas caídas. #sismoPeru #SISMO #Terremoto #Temblor #Tarapoto #Yurimaguas #Lamas #Earthquacke #TerremotoEnPeru #TemblorEnPeruhttps://youtu.be/olm33dGHARU|0|0|0|1132748313290317824|https://twitter.com/RenatoDjTato/status/1132748313290317824|428465362|2019-05-26 20:40:17+00:00|Sun May 26 20:40:17 +0000 2019||#sismoPeru #SISMO #Terremoto #Temblor #Tarapoto #Yurimaguas #Lamas #Earthquacke #TerremotoEnPeru #TemblorEnPeruhttps||https://youtu.be/olm33dGHARU
CeKriSo|None|@SeleneMurakami @Betheltv @bethelradio @RevRodolfoGC @mmmperu Solidaridad desde #Honduras con Ustedes Hermanos (as) en CRISTO y habitantes en general de #Perú , DIOS les fortalezca, Guíe e Ilumine en estos momentos de angustia. #Sismo #Temblor #Terremoto pic.twitter.com/XiiHlQ3g3y|2|2|0|1132743412061483009|https://twitter.com/CeKriSo/status/1132743412061483009|109686409|2019-05-26 20:20:49+00:00|Sun May 26 20:20:49 +0000 2019|@SeleneMurakami @Betheltv @bethelradio @RevRodolfoGC @mmmperu|#Honduras #Perú #Sismo #Temblor #Terremoto||
LEONELASUMMER|indeciperu|#INDECI AQUÍ LA BENDITA #MOCHILA NO SERVIRA MEJOR PREPAREN ATAUDES @pcmperu #CulturadePrevencion Enfocar #ZonasVulnerables #Sismo #Terremoto #Temblor #PatriciadelRio @noticiAmerica @RPPNoticias @Latina_Noticias @SolCn @NicolasLucar @saldelsol @MartinVizcarraC @JulianaOxenfordpic.twitter.com/VSVxEak3cw|3|3|0|1132715025532096514|https://twitter.com/LEONELASUMMER/status/1132715025532096514|801613625735704576|2019-05-26 18:28:01+00:00|Sun May 26 18:28:01 +0000 2019|@pcmperu @noticiAmerica @RPPNoticias @Latina_Noticias @SolCn @NicolasLucar @saldelsol @MartinVizcarraC @JulianaOxenfordpic|#INDECI #MOCHILA #CulturadePrevencion #ZonasVulnerables #Sismo #Terremoto #Temblor #PatriciadelRio||
LEONELASUMMER|JRivadeneyraR|Pueden Haber victimas Heridos, Niños y Ancianos en Shock y Pánico pero en este momento Solamente a Algunos IDIOTAS se les Ocurre Hacer COMENTARIOS ESTUPIDOS ! #Sismo #Terremoto #Temblor #PatriciadelRio @noticiAmerica @RPPNoticias @Latina_Noticias @JulianaOxenford Así Estamos #Perupic.twitter.com/PYw9wIf8Fq|4|6|1|1132709292438708226|https://twitter.com/LEONELASUMMER/status/1132709292438708226|801613625735704576|2019-05-26 18:05:14+00:00|Sun May 26 18:05:14 +0000 2019|@noticiAmerica @RPPNoticias @Latina_Noticias @JulianaOxenford|#Sismo #Terremoto #Temblor #PatriciadelRio #Perupic||
ElLuchin1|None|IMPRESIONANTE Momento Exacto del #Terremoto7.5 SUSPENDE Concierto en Vivo en #Rioja D. de #SanMartin 02:41 Am H/Madrugada Pata #Yurimaguas #Tarapoto #Lagunas #AltoAmazonas #Peru #Sismo #FelizDomingo 26 de Mayo #Earthquake #Temblor #Amazonas #Sunday #26Maypic.twitter.com/MVM7TtevCf|16|22|1|1132709024749752320|https://twitter.com/ElLuchin1/status/1132709024749752320|825103185723457537|2019-05-26 18:04:10+00:00|Sun May 26 18:04:10 +0000 2019||#Terremoto7 #Rioja #SanMartin #Yurimaguas #Tarapoto #Lagunas #AltoAmazonas #Peru #Sismo #FelizDomingo #Earthquake #Temblor #Amazonas #Sunday #26Maypic||
LEONELASUMMER|mekatronicco|Puede Haber victimas Humanas pero un idota hace comentario estupido! #Sismo #Terremoto #Temblor #PatriciadelRio @malditaternura #Yurimaguas @JulianaOxenford @rmapalacios @DeltaMdelta @socioperiodismo Despues nos quejamos porque el Pais esta como esta? @noticias_tvperu @NicolasLucarpic.twitter.com/qcpEYj8Pdh|0|0|0|1132706185763852289|https://twitter.com/LEONELASUMMER/status/1132706185763852289|801613625735704576|2019-05-26 17:52:54+00:00|Sun May 26 17:52:54 +0000 2019|@malditaternura @JulianaOxenford @rmapalacios @DeltaMdelta @socioperiodismo @noticias_tvperu @NicolasLucarpic|#Sismo #Terremoto #Temblor #PatriciadelRio #Yurimaguas||
ElLuchin1|None|INTENSIDADES Del #Terremoto7.5 en #SanMartin #Loreto 02:41 Am H/MadrugadaPata #Yurimaguas a 70 Km al SurEste de #Lagunas Profundidad 141 INTERMEDIA #Tarapoto #AltoAmazonas #Peru #Sismo #FelizDomingo 26 de Mayo #Earthquake #Temblor #Amazonaspic.twitter.com/HExH1Q9DZM|1|4|0|1132701255086821381|https://twitter.com/ElLuchin1/status/1132701255086821381|825103185723457537|2019-05-26 17:33:18+00:00|Sun May 26 17:33:18 +0000 2019||#Terremoto7 #SanMartin #Loreto #Yurimaguas #Lagunas #Tarapoto #AltoAmazonas #Peru #Sismo #FelizDomingo #Earthquake #Temblor #Amazonaspic||
ElLuchin1|None|INTENSIDADES Del #Terremoto7.5 en #SanMartin #Loreto 02:41 Am H/MadrugadaPata #Yurimaguas a 70 Km al SurEste de #Lagunas Profundidad 141 INTERMEDIA #Tarapoto #AltoAmazonas #Peru #Sismo #FelizDomingo 26 de Mayo #Earthquake #Temblor #Amazonaspic.twitter.com/RrY80p1VPI|1|5|0|1132701124044218371|https://twitter.com/ElLuchin1/status/1132701124044218371|825103185723457537|2019-05-26 17:32:47+00:00|Sun May 26 17:32:47 +0000 2019||#Terremoto7 #SanMartin #Loreto #Yurimaguas #Lagunas #Tarapoto #AltoAmazonas #Peru #Sismo #FelizDomingo #Earthquake #Temblor #Amazonaspic||
Brincala|Sismos_Peru_IGP|Lo suben a 8 grados. #sismo #temblor #Terremoto https://twitter.com/Sismos_Peru_IGP/status/1132694222904205314 …|1|1|0|1132698536791990272|https://twitter.com/Brincala/status/1132698536791990272|3824182216|2019-05-26 17:22:30+00:00|Sun May 26 17:22:30 +0000 2019||#sismo #temblor #Terremoto||https://twitter.com/Sismos_Peru_IGP/status/1132694222904205314
