1105447427191042048|@manzur_julieta|12:36 - 12 mar. 2019|1|Señores mi candidato yo voto por @fcojimenez21 #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1105443064699588608 …
1106165163902816256|@JuaniCarlin|12:08 - 14 mar. 2019|1|Atención gente ya en vivo #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1106164713329774597 …
1092969822030163968|@JuaniCarlin|02:14 - 06 feb. 2019|1|La mejor opción no hay duda yo si voto por este pana @fcojimenez21https://twitter.com/fcojimenez21/status/1092887907143172096 …
1106597249201700865|@Juan_DiegoT21|04:45 - 15 mar. 2019|1|Este 24 de marzo vamos por una administración humana que cumpla a todos #JiménezAlcalde @fcojimenez21https://twitter.com/fcojimenez21/status/1106594329945088000 …
1094452095716085761|@Juan_DiegoT21|04:24 - 10 feb. 2019|1|Sin duda este es mi candidato yo voto x el cambio @fcojimenez21 #ElGuayaquilQueTúQuiereshttps://twitter.com/fcojimenez21/status/1094044058501160960 …
1092641822826995712|@naranjo_marcos_|04:31 - 05 feb. 2019|1|No podemos entregar nuestra provincia, #Guayas ni nuestra ciudad #Guayaquil a personas que no han hecho obras, por nuestra gente, por eso #YoVotoPor @fcojimenez21 @PolyUgarteG #YoBotoA @CynthiaViteri6 @jimmyjairalahttps://twitter.com/fcojimenez21/status/1092591655226621952 …
1105743312588365824|@Regarces|08:12 - 13 mar. 2019|1|Todo 21https://twitter.com/fcojimenez21/status/1105610322780569601 …
1092641520128352259|@marioc_vasco|04:30 - 05 feb. 2019|1|Nos merecemos un #Guayas y un #Guayaquil con verdaderos líderes que hayan trabajado por su pueblo, por eso #YoVotoPor @fcojimenez21 @PolyUgarteG #YoBotoA @CynthiaViteri6 @jimmyjairalahttps://twitter.com/fcojimenez21/status/1092591655226621952 …
1098401291666100225|@JohnnyAlcivar8|01:57 - 21 feb. 2019|1|Muy buena propuesta Francisco a la Alcaldía. #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1098399450194763776 …
1108223832765227008|@YOLITARDO|04:28 - 20 mar. 2019|1|#ElGuayaquilQueTúQuieres De la mano de @fcojimenez21 #JiménezAlcalde #YolandaConcejal #distrito2 #YolandaLitardo #SinDrogasEsMejorhttps://twitter.com/fcojimenez21/status/1108102978957905920 …
1101864998773628928|@YOLITARDO|03:21 - 02 mar. 2019|1|#JiménezAlcalde #ElGuayaquilQueTúQuieres Gracias mi #MonteSinai https://twitter.com/fcojimenez21/status/1101632055400648708 …
1100906059642953728|@YOLITARDO|11:50 - 27 feb. 2019|1|Pensaran que son los dueños de Guayaquil?https://twitter.com/fcojimenez21/status/1100811595314352131 …
1099799643481874433|@YOLITARDO|10:34 - 24 feb. 2019|1|Nuestro Alcalde!https://twitter.com/fcojimenez21/status/1099771120516059136 …
1098448215559602177|@YOLITARDO|05:03 - 21 feb. 2019|1|#SinDebateNoTeVoto #JiménezAlcalde #DebateGuayacohttps://twitter.com/fcojimenez21/status/1098402607536721920 …
1096569056226881536|@YOLITARDO|12:36 - 16 feb. 2019|1|Es notorio que nuestras propuestas @fcojimenez21 son las mejores para la ciudad de Guayaquil!! Lo reprochable es que no tengan ideas nuevas y tengan que copiarlashttps://twitter.com/fcojimenez21/status/1096548229410443264 …
1096217808881500165|@YOLITARDO|01:21 - 15 feb. 2019|1|Candidato que no debate, no merece tu voto! El ciudadano más que publicidad, necesita información y propuestas @CynthiaViteri6 @fcojimenez21 @JeremyRubioE @Silviafabara @CREOEcuador @LassoGuillermo #SinDebateNoTeVotohttps://twitter.com/fcojimenez21/status/1096163902126202881 …
1095773311068442625|@YOLITARDO|07:54 - 13 feb. 2019|1|https://twitter.com/fcojimenez21/status/1095772798721626113 …
1095407249185480704|@YOLITARDO|07:40 - 12 feb. 2019|1|#ElGuayaquilQueTúQuieres queremos mejores días para Guayaquil, donde la prioridad sea la gente, la prioridad seas TÚ, hagamos historia, votemos 21 #JiménezAlcalde #YolandaConcejal #PorFamilia #PorGuayaquilSinDrogas #Todo21 @fcojimenez21 @Silviafabarahttps://twitter.com/fcojimenez21/status/1095375289067192322 …
1094043721254010880|@YOLITARDO|01:22 - 09 feb. 2019|1|Hagamos historia!! #ElGuayaquilQueTúQuieres es posible!! #JiménezAlcalde #YolandaConcejal #Todo21https://twitter.com/fcojimenez21/status/1094034477851070464 …
1108435296964788225|@gomez_vale_kiar|06:29 - 20 mar. 2019|1|#JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1108401892730855424 …
1099150853003452416|@Rouxnena|03:35 - 23 feb. 2019|1|Visitando a nuestras mujeres emprendedoras #EmprendeyActúaMujerhttps://twitter.com/fcojimenez21/status/1099139141080621056 …
1098404565597200384|@Rouxnena|02:10 - 21 feb. 2019|1|Un Guayaquil seguro merecen nuestros ciudadanoshttps://twitter.com/fcojimenez21/status/1098401713298513923 …
1098403913664024576|@Rouxnena|02:07 - 21 feb. 2019|1|Quién no debate no merece mi voto, todos con CREO21 #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1098402607536721920 …
1098402478570250240|@Rouxnena|02:02 - 21 feb. 2019|1|Excelente propuesta #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1098399450194763776 …
1092642247353552896|@trinidad_juanka|04:33 - 05 feb. 2019|1|¡Vamos a recuperar el #Guayas y #Guayaquil! ¡Vamos a ser #libres! #YoVotoPor @fcojimenez21 @PolyUgarteG #YoBotoA @CynthiaViteri6 @jimmyjairalahttps://twitter.com/fcojimenez21/status/1092591655226621952 …
1096412205216600065|@EmelecismoCSE|02:13 - 15 feb. 2019|1|EXCELENTE FRANCISCO MI VOTO VA POR TI PANCHO CYNTHIA TIENE PÁNICO MIEDO A DEBATIR PORQUE SABE QUE PIERDE EL DEBATEhttps://twitter.com/fcojimenez21/status/1096163902126202881 …
1095563894586855425|@EmelecismoCSE|06:02 - 13 feb. 2019|1|NO QUIERE DEBATE PORQUE SABE QUE TE LA COMES DEBATIENDO AMIGO UD ES ULTRA PREPARADO INTELIGENTE OTRA LINEA CYNTHIA ESTÁ ALINEADA AL GOBIERNO ESO ES ALGO NOTORIO PÚBLICO FÁCIL DARSE CUENTA BASTA CON LO OCURRIDO EN LA ASAMBLEAhttps://twitter.com/fcojimenez21/status/1095458710804152320 …
1099895792641495042|@roquerios|04:56 - 25 feb. 2019|1|S A C Ú D E T E !!! VOTA 21https://twitter.com/fcojimenez21/status/1099869070739017729 …
1095565557930360833|@GabrielaMinaMi1|06:09 - 13 feb. 2019|1|excelente propuesta esta señora yo si le vota para concejalhttps://twitter.com/fcojimenez21/status/1095137768907460609 …
1098402573676093441|@Silviafabara|02:02 - 21 feb. 2019|1|Los guayaquileños necesitamos más seguridad #JiménezAlcalde #en vivo #DebateGuayaco #todo21https://twitter.com/fcojimenez21/status/1098401713298513923 …
1098400254146289664|@Silviafabara|01:53 - 21 feb. 2019|1|La única forma de que las obras lleguen a todos los sectores es descentralizando el municipio. #JiménezAlcalde en vivo #DebateGuayacohttps://twitter.com/fcojimenez21/status/1098399450194763776 …
1098398351278702592|@Silviafabara|01:45 - 21 feb. 2019|1|En vivo #debateguayaco vía streaming candidatos a la alcaldía de Guayaquil. #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1098395304141950976 …
1100855816452743168|@jvascnes|08:30 - 27 feb. 2019|1|No es Justo, a qué le temen los socios?https://twitter.com/fcojimenez21/status/1100811595314352131 …
1108772488836796416|@CreoUSA|04:48 - 21 mar. 2019|1|El candidato mejor preparado para ser Alcalde es @fcojimenez21https://twitter.com/fcojimenez21/status/1108738641671712768 …
1097964965468798977|@CreoUSA|09:03 - 19 feb. 2019|1|Vamos @fcojimenez21 por el triunfo como alcalde de Guayaquil, con el apoyo del pueblo y @CREOGuayaquil21https://twitter.com/fcojimenez21/status/1097294710572498946 …
1097503341406498817|@CreoUSA|02:29 - 18 feb. 2019|1|Seguimos apoyando al mejor preparado para la Alcaldia de @CREOGuayaquil21https://twitter.com/fcojimenez21/status/1097364083437912066 …
1109270688177840129|@d_luzarraga|01:48 - 23 mar. 2019|1|#JimenezAlcaldehttps://twitter.com/fcojimenez21/status/1108862903736823809 …
1108014814838681600|@d_luzarraga|02:38 - 19 mar. 2019|1|Por más obras reales que ayudan a las verdaderas necesidades de los guayaquileños #VotoPorTiJimenezhttps://twitter.com/fcojimenez21/status/1107992793421676544 …
1107995076372910080|@d_luzarraga|01:19 - 19 mar. 2019|1|Por un Gye con cara humana, @fcojimenez21 Es la persona indicada! VOTA TODO 21 la lista del CAMBIO, de las OPORTUNIDADES.https://twitter.com/fcojimenez21/status/1107725547902287873 …
1104967336614903810|@d_luzarraga|04:48 - 11 mar. 2019|1|El cariño se siente en cada recorrido, esto no es pagado, es convicción, VOLUNTAD de servicio, por #ElGuayaquilQueTúQuiereshttps://twitter.com/fcojimenez21/status/1104910932147425280 …
1101318389396656128|@d_luzarraga|03:09 - 01 mar. 2019|1|A los adolescentes hay que apoyarlos no olvidarlos, así construiremos futuro #JiménezAlcalde #GuayaquilConJimenezhttps://twitter.com/fcojimenez21/status/1101318055240630273 …
1101317518478716933|@d_luzarraga|03:05 - 01 mar. 2019|1|Toda propuesta debe ser investigada previamente. #JiménezAlcalde #GuayaquilConJimenezhttps://twitter.com/fcojimenez21/status/1101316893149982720 …
1101316285181378560|@d_luzarraga|03:00 - 01 mar. 2019|1|Metro fluvial, una alternativa que incentiva el turismo en Guayaquil. #GuayaquilConJimenez #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1101312831520194561 …
1101315149355536384|@d_luzarraga|02:56 - 01 mar. 2019|1|Encontrar alternativas de empleo para los jóvenes debe ser tu primera misión. #JiménezAlcalde #GuayaquilConJimenezhttps://twitter.com/fcojimenez21/status/1101312308758958082 …
1101314230412869632|@d_luzarraga|02:52 - 01 mar. 2019|1|Dividir el municipio en 10 unidades cercanas a la ciudadanía para humanizar la obra. #GuayaquilConJimenez #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1101308649547485185 …
1101313918025326594|@d_luzarraga|02:51 - 01 mar. 2019|1|Por una policía metropolitana moderna que de apoyo a la Nacional, que cuide a los niños de los narcotraficantes en las escuelas y sea guía turística. #GuayaquilConJimenez #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1101307492670365697 …
1101313144893464576|@d_luzarraga|02:48 - 01 mar. 2019|1|Para combatir las drogas; prevención, rehabilitación y reinserción de los adictos, esto es #GuayaquilConJimenez #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1101309535141142528 …
1101312368636821510|@d_luzarraga|02:45 - 01 mar. 2019|1|La.mejor opción para Guayaquil sin duda alguna #JiménezAlcalde #GuayaquilConJimenezhttps://twitter.com/fcojimenez21/status/1101310029964165121 …
1101311896492433409|@d_luzarraga|02:43 - 01 mar. 2019|1|Todo 21 porque #GuayaquilConJimenez dará apertura permanente a los artistas. #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1101160716957036547 …
1101308838748270593|@d_luzarraga|02:31 - 01 mar. 2019|1|El candidato mejor preparado #JiménezAlcalde #GuayaquilConJiménezhttps://twitter.com/fcojimenez21/status/1101306721753071617 …
1098411364417191936|@d_luzarraga|02:37 - 21 feb. 2019|1|Yo veo a futuro, lo que se tenía que hacer se hizo y lo que no se hizo, no se hará. #JiménezAlcalde ve a futuro y sueña con #ElGuayaquilQueTúQuiereshttps://twitter.com/fcojimenez21/status/1098407440071254016 …
1101357232476905477|@CeciValle60|05:43 - 01 mar. 2019|1|No soy CREO ni nada mi voto es mi derecho, mi deseo por algo nuevo, @fcojimenez21 no está desgastado como algunos, es preparado haya o no sido gobernador, fue q es lo q importa pasado, peor es criticar y abrazar a los q tu organización denuncia. #JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1101320669705498624 …
1101323235625447424|@karenthaly_|03:28 - 01 mar. 2019|1|Un Guayaquil más Moderno #JiménezAlcalde #GuayaquilconJiménez @fcojimenez21https://twitter.com/fcojimenez21/status/1101320669705498624 …
1101979782235992065|@zoilitagomez|10:57 - 02 mar. 2019|1|Feliz viaje! Descansen y disfruten. Juntos lograremos #ElGuayaquilQueTúQuieres #PorLaFamilia #FeriadoDeCarnaval #ZoilaGomezConcejal #Todo21https://twitter.com/fcojimenez21/status/1101922950977077249 …
1101464385350967296|@zoilitagomez|12:49 - 01 mar. 2019|1|Así es @fcojimenez21 Vamos a servirte! Continuaré con la obra social que he venido Desempeñando sin estar en la politica y trabajaremos #ElGuayaquilQueTúQuieres por la Familia ,la http://juventud.La mujer ,los niños. #JiménezAlcalde #ZoilaGomezconcejal #PorLaFamiliahttps://twitter.com/fcojimenez21/status/1101318055240630273 …
1091892059940757504|@zoilitagomez|02:52 - 03 feb. 2019|1|Bello tiempo con mis vecinos de Sauces!! https://twitter.com/fcojimenez21/status/1091868129083437056 …
1095185561743228933|@moscoso_pjose|04:59 - 12 feb. 2019|1|buena propuestahttps://twitter.com/fcojimenez21/status/1094973689542701056 …
1105458676742189056|@rommelramosec|01:21 - 12 mar. 2019|1|“Ante un problema la solución y no solo la sanción” Basta ya! De tanto abusohttps://twitter.com/fcojimenez21/status/1105457847750545412 …
1104846356894679045|@rommelramosec|08:47 - 10 mar. 2019|1|El abuso en su más alta expresión...https://twitter.com/fcojimenez21/status/1104837057598418945 …
1104205830075887617|@rommelramosec|02:22 - 09 mar. 2019|1|Celebrando a la mujer Guayaquileñahttps://twitter.com/fcojimenez21/status/1104163749051678721 …
1098443416478855169|@rommelramosec|04:44 - 21 feb. 2019|1|#JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1098416095227248645 …
1098402361612140544|@rommelramosec|02:01 - 21 feb. 2019|1|Debemos buscar intensamente la seguridad que hace mucho rato se ha perdido en nuestro Guayaquil. Esta es una propuesta viable sin tanto recurso económico se necesita una nueva visión #JiménezAlcalde #DebateGuayacohttps://twitter.com/fcojimenez21/status/1098401713298513923 …
1098399646723072000|@rommelramosec|01:50 - 21 feb. 2019|1|#JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1098399450194763776 …
1098398661481033728|@rommelramosec|01:47 - 21 feb. 2019|1|#JiménezAlcaldehttps://twitter.com/fcojimenez21/status/1098398038534639616 …
1096868133070139392|@JohnLeokno|08:25 - 16 feb. 2019|1|Como que está es una buena opciónhttps://twitter.com/fcojimenez21/status/1096850723252387842 …
1101200254429470720|@ktydtt31|07:19 - 28 feb. 2019|1|Esto no puede sucederhttps://twitter.com/fcojimenez21/status/1100811641342623747 …
1107805697855705088|@Todoparalosnio1|12:47 - 19 mar. 2019|1|@PaulEPalacios @fcojimenez21 @jaimenebotsaadi @PolyUgarteG estoy seguro que en estas elecciones usted será la sorpresa...https://twitter.com/fcojimenez21/status/1107783974464733186 …
1107805213824610304|@Todoparalosnio1|12:45 - 19 mar. 2019|1|Excelente...https://twitter.com/fcojimenez21/status/1107782841411223552 …
